Row Labels,Sum of فروش,Sum of خرید
1403/02/01,6.82591E+11,7.48987E+11
1403/02/02,6.38644E+11,7.29396E+11
1403/02/03,6.01408E+11,9.08751E+11
1403/02/04,6.49667E+11,4.43796E+11
1403/02/05,4.37964E+11,6.40311E+11
1403/02/08,6.59108E+11,5.55854E+11
1403/02/09,4.89111E+11,3.3251E+11
1403/02/10,6.57256E+11,7.6066E+11
1403/02/11,3.76508E+11,3.81779E+11
1403/02/12,5.48296E+11,3.28388E+11
1403/02/16,5.27852E+11,6.65372E+11
1403/02/17,2.81682E+11,3.01825E+11
1403/02/18,4.22013E+11,3.59233E+11
1403/02/19,4.33514E+11,3.81338E+11
1403/02/22,5.95967E+11,4.32044E+11
1403/02/23,5.27216E+11,5.55052E+11
1403/02/24,7.22893E+11,5.02532E+11
1403/02/25,3.47174E+11,5.70772E+11
1403/02/26,8.34024E+11,4.38409E+11
1403/02/29,3.01789E+11,8.70273E+11
1403/02/30,7.27588E+11,4.19026E+11
1403/03/01,4.57829E+11,8.67222E+11
1403/03/05,6.71343E+11,6.67883E+11
1403/03/06,6.44657E+11,1.93533E+11
1403/03/07,5.04117E+11,3.99015E+11
1403/03/08,5.002E+11,1.43938E+12
1403/03/09,4.0294E+11,1.5298E+12
1403/03/12,3.50967E+11,4.27149E+11
1403/03/13,7.90133E+11,7.3723E+11
1403/03/16,3.58134E+11,6.7504E+11
Grand Total,1.73963E+14,1.72009E+14
